Name,Zone,Price,URL,Bedrooms,Area,Floor,Description,Source,Scraped At
Apartamento Arroios T2 com logradouro,"Estefânia, Arroios, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/apartamento-arroios-t2-com-logradouro-ID1g30L,T2,94 m²,0,"Disponível em breve!!! Apartamento T2 em arroios junto ao Mercado, Pingo Doce e Continente. 2 quartos (1 casal, 1 solteiro), sala de estar e jantar, coxinha, 1 casa de banho, lavandaria, arrecadação ...",Imovirtual,2025-01-20 13:32:22
Apartamento T1 mobilado em Entrecampos,"Alvalade, Alvalade, Lisboa, Lisboa",1150,https://www.imovirtual.com/pt/anuncio/apartamento-t1-mobilado-em-entrecampos-ID1fOWn,T1,48 m²,0,"Apartamento T1 em óptimo estado, em prédio com 2 elevadores. Muito luminoso e soalheiro. Mobilado e com cozinha equipada com esquentador, frigorífico, fogão e máquina de lavar roupa. Sala com sofá ...",Imovirtual,2025-01-20 13:32:22
"Apartamento, 2 quartos, Lisboa, EPUL","Restelo, Belém, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/apartamento-2-quartos-lisboa-epul-ID1g2Zv,T2,50 m²,0,"Apartamento T2 com 55 m² de área bruta, localizado no Restelo, que oferece o equilíbrio perfeito entre conforto e funcionalidade. Características principais: - Tipologia: T2 (dois quartos); - Casas de...",Imovirtual,2025-01-20 13:32:22
"Apartamento T1 Beato C/ Terraço, Lisboa","Picheleira, Beato, Lisboa, Lisboa",900,https://www.imovirtual.com/pt/anuncio/apartamento-t1-beato-c-terraco-lisboa-ID1g2Rl,T1,40 m²,0,"Apartamento T1 localizado em Olaias.  Composto por sala, casa de banho, um quarto e terraço. Cozinha equipada com placa, forno e exaustor. Próximo de transportes, comércio local e escolas. ...",Imovirtual,2025-01-20 13:32:22
Bom T1  zona de eleição em Benfica,"Igreja de Benfica, Benfica, Lisboa, Lisboa",850,https://www.imovirtual.com/pt/anuncio/bom-t1-zona-de-eleicao-em-benfica-ID1g2NZ,T1,65 m²,0,Excelente T1 em prédio de prestigio em zona de eleição de Benfica. Perto de todo o tipo de comércio e serviços nomeadamente mercado municipal de Benfica e C.C. Colombo. Muitos transportes públicos. ...,Imovirtual,2025-01-20 13:32:22
T1 Benfica renov c. coz equipada.,"Calçada do Tojal, Benfica, Lisboa, Lisboa",850,https://www.imovirtual.com/pt/anuncio/t1-benfica-renov-c-coz-equipada-ID1g2NU,T1,65 m²,0,Excelente T1 em prédio de prestigio em zona de eleição de Benfica. Perto de todo o tipo de comércio e serviços nomeadamente mercado municipal de Benfica e C.C. Colombo. Muitos transportes públicos. ...,Imovirtual,2025-01-20 13:32:22
"Imperdível estúdio ou galeria, 2 divisões e WC, Rua da Guiné, Arroios","Estefânia, Arroios, Lisboa, Lisboa",950,https://www.imovirtual.com/pt/anuncio/imperdivel-estudio-ou-galeria-2-divisoes-e-wc-rua-da-guine-arroios-ID1g2MS,T1,30 m²,0,"T1, 1 wc, totalmente renovado, mobilado e equipado, muito bem situado, na Rua da Guiné, zona de Arroios",Imovirtual,2025-01-20 13:32:22
Apartamento T1 para arrendamento,"Avenida Almirante Reis, Anjos, Arroios, Lisboa, Lisboa",1150,https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-arrendamento-ID1g2Ks,T1,48.44 m²,0,"Apartamento T1 para Arrendamento junto ao metro dos Anjos Situado num das principais art&eacute;rias da cidade de Lisboa, a Av. Almirante Reis, encontramos este apartamento T1 remodelado para arrend...",Imovirtual,2025-01-20 13:32:22
Arrenda-T1 em Arroios,"Estefânia, Arroios, Lisboa, Lisboa",950,https://www.imovirtual.com/pt/anuncio/arrenda-t1-em-arroios-ID1g2HQ,T1,50 m²,0,"T1 mobilado, localizado no 3° andar, com elevador, composto por um quarto, sala comum, cozinha e WC. Tem varanda.",Imovirtual,2025-01-20 13:32:22
T1 Totalmente Equipado e Mobilado em Santos o Velho – Travessa das Ing,"Travessa Inglesinhas, Santos-o-Velho - Madragoa, Estrela, Lisboa, Lisboa",900,https://www.imovirtual.com/pt/anuncio/t1-totalmente-equipado-e-mobilado-em-santos-o-velho-travessa-das-ing-ID1g2GI,T1,31 m²,0,"Apartamento T1 totalmente equipado e mobilado, localizado na Travessa das Inglesinhas, em Santos o Velho, uma das zonas mais encantadoras e históricas de Lisboa. Com uma decoração moderna e funcional,...",Imovirtual,2025-01-20 13:32:22
